"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","getById","getById()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.feedback.FeedbackServiceTest","","com.swp391.koibe.services.feedback.FeedbackServiceTest","getAllFeedbacks","getAllFeedbacks()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","delete","delete()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","11","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","validateAuctionTimes","validateAuctionTimes()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","deleteKoiImage","deleteKoiImage()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","testGetOrdersByStatus","testGetOrdersByStatus()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","4","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getAllBidHistories","getAllBidHistories()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","4","","com.swp391.koibe.services.otp.OtpServiceTest","","com.swp391.koibe.services.otp.OtpServiceTest","createOtp","createOtp()",""
"passed","Sun Oct 27 02:12:30 GMT 2024","Sun Oct 27 02:12:30 GMT 2024","3","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","createMember","createMember()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","8","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testCreateRole","testCreateRole()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","descending","descending()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","5","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","getAuctionParticipantById","getAuctionParticipantById()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByKeyword","getAuctionByKeyword()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","5","","com.swp391.koibe.services.user.staff.StaffServiceTest","","com.swp391.koibe.services.user.staff.StaffServiceTest","updateMemberToStaff","updateMemberToStaff()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","4","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","getOrderDetail","getOrderDetail()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","8","","com.swp391.koibe.utils.DateTimeUtilsTest","","com.swp391.koibe.utils.DateTimeUtilsTest","parseTime","parseTime()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","updateAccountBalance","updateAccountBalance()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","2","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionId","getAuctionKoiByAuctionId()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","createKoiImage","createKoiImage()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","existsByName","existsByName()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","createAuctionParticipant","createAuctionParticipant()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","3","","com.swp391.koibe.services.user.breeder.BreederServiceTest","","com.swp391.koibe.services.user.breeder.BreederServiceTest","deleteBreeder","deleteBreeder()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","testGetAuctionByStatus","testGetAuctionByStatus()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","getUserByEmail","getUserByEmail()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","9","","com.swp391.koibe.services.user.breeder.BreederServiceTest","","com.swp391.koibe.services.user.breeder.BreederServiceTest","getAllBreeders","getAllBreeders()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","updateAuctionStatus","updateAuctionStatus()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","6","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","findByOrderId","findByOrderId()",""
